City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,nacala,-14.5428,40.6728,22.36,90,40,2.83,MZ,1714952501
327,turar ryskulov,42.5333,70.3333,10.81,80,98,2.52,KZ,1714952501
328,leninskoye,41.7589,69.3864,12.6,82,100,1.37,KZ,1714952501
329,shasta lake,40.6804,-122.3708,17.2,49,90,0.45,US,1714952501
330,flying fish cove,-10.4217,105.6791,25.82,83,40,5.66,CX,1714952501
331,gulu,2.7746,32.299,17.92,87,85,1.83,UG,1714952502
332,tolanaro,-25.0319,46.9987,21.04,88,20,7.2,MG,1714952502
333,arar,30.9753,41.0381,20.01,22,0,4.12,SA,1714952502
334,puerto madero,14.7208,-92.4215,33.11,62,20,5.14,MX,1714952503
335,murun-kuren,49.6342,100.1625,14.24,40,69,1.12,MN,1714952503
336,broken hill,-31.95,141.4333,15.71,46,0,6.05,AU,1714952503
337,nelson,-41.2833,173.2833,16.19,50,0,3.13,NZ,1714952487
338,auki,-8.7676,160.7034,31.11,65,52,0.65,SB,1714952503
339,aykhal,66.0,111.5,-2.8,87,48,3.39,RU,1714952504
340,ulanhot,46.0833,122.0833,14.26,36,100,9.26,CN,1714952504
341,mostaganem,35.9311,0.0892,19.73,43,100,3.96,DZ,1714952504
342,vorkuta,67.5,64.0,-18.83,100,100,1.79,RU,1714952504
343,burela de cabo,43.65,-7.4,11.76,77,32,3.68,ES,1714952504
344,qujing,25.4833,103.7833,15.46,79,79,1.91,CN,1714952504
345,susanville,40.4163,-120.653,6.57,58,99,5.36,US,1714952504
346,vrangel',42.7297,133.0839,7.82,94,100,12.06,RU,1714952505
347,kodiak,57.79,-152.4072,5.73,81,100,4.12,US,1714952505
348,porangatu,-13.4408,-49.1486,24.39,57,8,1.49,BR,1714952505
349,nuku'alofa,-21.1333,-175.2,27.19,89,75,1.54,TO,1714952505
350,abu jibeha,11.4562,31.2285,29.25,16,1,1.5,SD,1714952505
351,goz beida,13.95,20.55,31.03,12,0,4.89,TD,1714952505
352,mokhsogollokh,61.4681,128.9203,7.7,61,71,2.87,RU,1714952505
353,oppdal,62.5943,9.6912,9.0,85,98,2.33,NO,1714952506
354,forster,-32.1667,152.5167,17.43,100,91,6.74,AU,1714952506
355,dhidhdhoo,6.8833,73.1,29.46,76,25,5.29,MV,1714952506
356,leava,-14.3,-178.1667,29.27,80,100,5.68,WF,1714952506
357,wynyard,-41.0,145.7167,13.34,69,47,1.59,AU,1714952506
358,hitachi,36.6,140.65,22.03,69,100,9.25,JP,1714952506
359,penha,-26.7694,-48.6458,24.94,94,100,1.54,BR,1714952507
360,uliastay,47.7417,96.8444,11.22,34,11,2.72,MN,1714952507
361,tazovsky,67.4667,78.7,-6.87,95,100,6.02,RU,1714952507
362,cabedelo,-6.9811,-34.8339,27.37,83,82,5.7,BR,1714952507
363,sinjai,-5.1241,120.253,24.37,91,100,1.84,ID,1714952507
